宇宙空間から飛来する銀河宇宙線が地球の蜘蛛の形成を誘起している,スベンスマルク効果
男女の物理的な距離が近いほど心理的な距離は縮まる,ボッサードの法則
常に絶対的にそうであるものは存在しない、どんなものもその90%はカスである,スタージョンの法則
ネット上で正しい答えを得る最良の方法は、質問することではなくわざと間違えること,カニンガムの法則
ネット上での議論が長引けば長引くほど、ナチスが引き合いに出される,ゴドウィンの法則
代表作に梅田スカイビルや京都駅、札幌ドームがある日本の建築家,原広司
代表作にニューヨーク近代美術館新館がある日本の建築家,谷口吉生(よしお)
グエル公園を手がけた建築家,アントニオ・ガウディ
代表作にカウフマン邸である落水荘がある建築家,フランク・ロイド・ライト
多くの集合住宅(ジードルンク)を手がけたドイツの建築家,ブルーノ・タウト
パリのポンピドゥー・センターを手がけた建築家,レンゾ・ピアノ
バイエルンの本拠地であるミュンヘンのサッカースタジアム,アリアンツ・アレーナ
代表作にヘイダル・アリエフ・センター、女性初のプリツカー賞,ザハ・ハディッド
日本人初のプリツカー賞,丹下健三
代表作に広島平和記念公園、代々木第一体育館がある建築家,丹下健三
代表作に幕張メッセ、東京体育館がある建築家,槇文彦
代表作に高輪ゲートウェイ駅、国立競技場,隈研吾
代表作に築地本願寺、「造家」を「建築」と翻訳,伊東忠太
ひな鳥の刷り込みの研究で知られるオーストリアの動物学者,コンラート・ローレンツ
成層圏の発見者,テスラン・ド・ボール
レコードの考案者,エミール・ベルリナー
代表作に『ふぞろいな林檎たち』がある脚本家,山田太一
代表作に『こんにちは赤ちゃん』,梓みちよ
口の開き具合で音の高さを調節するカエルの楽器,ケロミン
コインの表裏を当てる賭けで、参加費がいくらであっても期待値的に得となるパラドックス,サンクトペテルブルクのパラドックス
ひよこを試験管に入れミキサーにかける思考実験,ポール・ワイスの思考実験
「日本」を創刊した明治期のジャーナリスト,陸羯南
バルチック艦隊の船長,ロジェストヴェンスキー
バルチック艦隊が日本船と誤認してイギリスの漁船を攻撃,ドッガーバンク事件
エノラ・ゲイの機長、彼の母の名からとられた,ポール・ティベッツ
リムランド理論を提唱,ニコラス・スパイクマン
ビットの考案者,クロード・シャノン
堅あげポテトやピザポテトを考案,遠藤英三郎
かつての源頼朝の肖像は,足利直義
写真や印刷業界で使用される,マクベスチャート
日本初のピアニスト,久野久
ある法則に則って移動するアリ,ラングトンのアリ
バームクーヘンの考案者,カール・ユーハイム
ドーナツの考案者,ハンソン・グレゴリー
厚生年金の考案者,花澤武夫
架空の藩・海坂藩を舞台にした小説を残した,藤沢周平
スーツをたたんだまま持ち運べる,ガーメントバッグ
代表作に『夫婦善哉』,織田作之助
ギロチンの考案者,アントワーヌ・ヌイ
ギロチンは彼の名からとられた,ジョゼフ・ギヨタン
代表作に『バック・トゥーザ・フューチャー』「レジェンド・オブ・ミシカ」,アラン・シルヴェストリ
面積の等しい2つの多角形は分割することで組み換え可能,ボヤイの定理
代表作に『一握の玻璃』,西條八十